Código;Municipio;Departamento;ABELARDO DE LA ESPRIELLA;IVÁN CEPEDA CASTRO;PALOMA VALENCIA LASERNA;SERGIO FAJARDO VALDERRAMA;CLAUDIA LÓPEZ;RAÚL SANTIAGO BOTERO JARAMILLO;ÓSCAR MAURICIO LIZCANO ARANGO;MIGUEL URIBE LONDOÑO;SONDRA MACOLLINS GARVIN PINTO;ROY LEONARDO BARRERAS MONTEALEGRE;LUIS GILBERTO MURILLO URRUTIA;CARLOS EDUARDO CAICEDO OMAR;GUSTAVO MATAMOROS CAMACHO;Voto en blanco;Nulos;No marcados;Válidos;Votantes
60010;EL ENCANTO;Amazonas;37;216;8;1;3;0;2;1;1;1;0;0;0;0;0;1;270;271
60013;LA CHORRERA;Amazonas;25;544;12;0;1;1;0;0;0;0;0;0;0;2;2;0;585;587
60016;LA PEDRERA;Amazonas;49;327;7;3;3;1;2;3;0;1;1;0;0;3;3;2;400;405
60017;LA VICTORIA;Amazonas;0;28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;29;29
60001;LETICIA;Amazonas;7.328;10.415;1.414;476;187;303;54;39;21;25;20;25;7;401;203;73;20.715;20.991
60019;MIRITI PARANA;Amazonas;4;89;1;0;0;0;0;0;0;0;0;0;0;2;0;0;96;96
60030;PUERTO ALEGRIA;Amazonas;14;94;3;0;0;0;0;0;0;1;0;0;0;0;0;0;112;112
60040;PUERTO ARICA;Amazonas;15;163;9;0;1;0;0;0;0;0;0;1;1;0;0;0;190;190
60007;PUERTO NARIÑO;Amazonas;327;1.629;112;9;19;24;4;8;4;7;5;9;4;43;15;24;2.204;2.243
60021;PUERTO SANTANDER;Amazonas;19;93;14;2;2;0;0;0;0;0;0;0;0;2;1;0;132;133
60022;TARAPACA;Amazonas;69;356;16;3;2;12;4;2;1;0;1;3;0;25;5;1;494;500
01004;ABEJORRAL;Antioquia;4.191;924;1.635;343;45;132;15;29;22;11;3;3;6;113;65;53;7.472;7.590
01007;ABRIAQUI;Antioquia;592;102;319;26;4;8;1;2;3;3;1;0;0;16;18;2;1.077;1.097
